   2.7776370e-01	   7.1538228e+01	   1.0128764e+01	   3.2192732e-11	   8.1666992e+01	
   3.9063893e-01	   7.2463560e+01	   3.2135992e+00	   2.6579958e-11	   7.5677159e+01	
   4.5615088e-01	   7.3478605e+01	   2.9432428e+00	   2.4493436e-11	   7.6421848e+01	
   5.1244989e-01	   7.2957788e+01	   3.3125308e+00	   2.3061398e-11	   7.6270319e+01	
   5.6188452e-01	   7.3745644e+01	   3.3735179e+00	   2.2830849e-11	   7.7119162e+01	
   6.0516162e-01	   7.2212022e+01	   3.6351445e+00	   2.0614399e-11	   7.5847167e+01	
   6.5400178e-01	   6.8156377e+01	   3.3411731e+00	   1.8312505e-11	   7.1497550e+01	
   6.9360334e-01	   7.0579620e+01	   3.7248185e+00	   1.7850065e-11	   7.4304439e+01	
   7.3536691e-01	   6.9883383e+01	   3.7384503e+00	   1.5971784e-11	   7.3621833e+01	
   7.7902003e-01	   6.9389018e+01	   3.8427046e+00	   1.5700239e-11	   7.3231722e+01	
   8.2341904e-01	   6.8479773e+01	   4.7982926e+00	   1.8778381e-11	   7.3278066e+01	
   8.6675870e-01	   6.8558349e+01	   4.3112452e+00	   1.5747381e-11	   7.2869594e+01	
   9.0900552e-01	   7.0207030e+01	   4.6663969e+00	   1.5184012e-11	   7.4873427e+01	
   9.5559944e-01	   6.7299461e+01	   4.8009826e+00	   1.4260896e-11	   7.2100443e+01	
   1.0031059e+00	   6.8472133e+01	   5.0360457e+00	   1.3943064e-11	   7.3508179e+01	
   1.0518774e+00	   7.0833567e+01	   5.8310202e+00	   1.4249282e-11	   7.6664587e+01	
   1.1029865e+00	   6.5472301e+01	   5.8459099e+00	   1.3321601e-11	   7.1318211e+01	
   1.1568651e+00	   6.8764457e+01	   5.8806799e+00	   1.4636560e-11	   7.4645136e+01	
   1.2146386e+00	   6.9258707e+01	   5.3364078e+00	   1.2216633e-11	   7.4595115e+01	
   1.2715010e+00	   6.8604527e+01	   6.3253239e+00	   1.3649751e-11	   7.4929851e+01	
   1.3350367e+00	   6.6739410e+01	   6.4001968e+00	   1.2340254e-11	   7.3139607e+01	
   1.4062054e+00	   6.6768669e+01	   6.3414893e+00	   1.2296801e-11	   7.3110159e+01	
   1.4848029e+00	   6.6889630e+01	   6.9098657e+00	   1.2521079e-11	   7.3799495e+01	
   1.5665003e+00	   6.8730169e+01	   6.5786052e+00	   1.2644027e-11	   7.5308774e+01	
   1.6644680e+00	   6.6314472e+01	   7.2017790e+00	   1.3347789e-11	   7.3516251e+01	
   1.7756506e+00	   6.3554299e+01	   7.6383168e+00	   1.1018684e-11	   7.1192616e+01	
   1.9046611e+00	   6.3911495e+01	   8.1746356e+00	   1.3536379e-11	   7.2086131e+01	
   2.0771549e+00	   6.3786694e+01	   7.8691189e+00	   1.2508801e-11	   7.1655812e+01	
   2.3247469e+00	   5.9530086e+01	   9.0868225e+00	   1.1786046e-11	   6.8616909e+01	
   2.8776940e+00	   5.8200263e+01	   8.4315325e+00	   1.4506126e-11	   6.6631795e+01	
