<FITC-A>: pMEK (S221)	<Alexa Fluor 700-A>: CD8	<PE-Gr-A>: ppERK	<Pacific Blue-A>: CTV-OT1
4823.28516	2993.24707	109.199554	18263.627
16508.748	2194.24048	2325.26343	4031.93604
1973.71045	940.770508	66.4891281	4379.55615
1833.23486	692.414368	85.7119675	3598.71338
958.040222	511.548523	-33.5505447	6309.08691
2277.45581	821.586975	0.935373008	8128.59521
806.027527	344.790497	6.79383373	2632.10498
13338.6348	1232.55383	150.133041	5250.8252
1615.50696	980.940796	82.8798676	5570.91943
6537.30615	1882.50195	1197.2135	3754.22168
9033.69824	1249.91956	1487.05237	1306.27454
2453.32202	1424.54602	51.2745628	3567.4187
10357.6025	1889.15002	1655.99133	13463.2305
1125.65881	622.492126	10.9462013	11396.3457
12300.7139	1494.1366	442.585999	9689.55859
3639.07471	2201.71094	150.755798	8449.69824
216.480499	407.32489	78.331337	1870.36584
694.714539	1424.16382	73.7199631	7631.39941
3334.09326	213.420242	2.79223895	1896.35522
-110.30822	755.144592	-59.9345093	12910.376
708.509766	1949.70471	68.7644577	1566.20728
4522.77344	1244.81311	1017.2326	2706.01099
5189.52832	233.74176	406.547028	8303.54492
6862.14111	929.734131	131.628876	1148.95288
1954.48511	686.014282	77.1058121	2957.67749
2026.75598	687.711792	94.1769867	3955.81006
-110.428467	130.726807	-59.3099098	3742.78101
9361.625	938.430481	144.122314	1402.56335
3555.82227	1284.02393	353.669678	7250.05957
4984.37939	503.441254	899.101501	672.93866
13426.1846	2464.49292	257.866272	7765.12744
22747.6309	1320.47485	1964.35925	4498.28125
4465.72363	767.714294	76.6519241	2464.0293
11843.9541	710.702759	177.884323	935.270264
5700.12451	1361.94617	775.591003	3132.36206
11037.7852	3318.95068	2279.94678	4595.24316
543.924255	424.8078	120.215134	5442.56543
1.23537183e5	629.735962	76.6628265	10470.1602
390.359192	556.018494	139.916763	555.43988
7102.99512	1516.11145	1894.58716	2214.07397
2565.48315	1567.55359	190.117233	380.877716
858.742371	2051.15698	3089.87012	3275.14844
9048.47949	2185.50024	1783.4292	7815.55859
-110.45816	396.310944	347.313934	832.24762
9861.17969	542.101135	2227.20483	1592.47266
15335.4316	1702.69275	514.409851	1501.4928
35972.3203	4128.43018	2448.96558	6860.46777
3924.98389	993.44397	210.079895	1315.46948
1530.31934	534.181335	59.9636078	2994.70166
24153.0762	1988.45789	3522.71631	3300.69409
5787.09473	601.154236	128.079819	6927.32959
9374.68164	1571.85205	3123.94385	611.576965
5644.26123	406.787903	156.28241	4920.00244
4348.97705	697.328979	159.909973	6604.48877
6141.99658	823.044006	873.44812	2909.00098
821.481079	2659.29297	85.4862823	11068.5898
889.362732	1339.88965	14.4111834	1867.12683
8728.85938	1119.24341	794.26355	8208.24805
4816.92871	492.79718	571.040039	6537.875
4618.24561	990.3125	620.107178	645.349426
10067.252	1404.89673	1276.28723	6230.52881
3601.49292	832.1922	843.15448	1032.05725
-110.59182	229.755005	97.9758148	554.109619
-110.369736	324.355835	27.9433289	3664.71558
5994.62549	365.687775	496.724365	3772.15259
2761.51929	303.550018	214.449081	1756.70874
3509.20459	702.219238	108.41214	5089.58887
231.411346	544.84668	85.8997803	4374.7041
2975.34253	572.961365	910.700867	609.496338
24812.6738	1015.91406	376.122223	921.630554
16515	2750.93994	532.778198	9527.01074
11390.999	585.114197	630.802429	10135.1152
8600.41602	756.316284	388.120331	7839.45361
2028.93237	631.37439	168.049835	5883.11035
40463.293	2948.33521	1261.53162	13174.2695
12037.501	620.144653	1502.83875	5914.90967
2524.50928	2226.3335	855.439575	1009.44275
661.536804	303.206573	20.7281818	3224.39722
4074.66992	2178.79102	86.4537277	5235.33398
995.498657	351.719666	54.3451424	4617.65186
10026.8389	4214.88232	3324.5979	7327.96387
334.688293	95.6637726	-32.6149254	4579.74805
2057.14771	923.265076	370.153473	3165.84033
1932.86096	1367.36414	312.320129	853.551086
6932.56543	981.082703	632.350098	6334.61426
4929.49316	839.227844	317.044739	5298.66113
9874.88477	1456.01233	1625.43213	8798.01074
8458.13965	776.518738	1560.36792	3025.31958
26393.6133	952.237671	1394.08826	5119.44873
4093.63013	1198.65149	1782.27258	1684.32568
12576.2627	1325.90308	149.49173	7919.70068
2980.69238	971.982483	384.252045	6599.28613
2869.50171	1230.44006	123.841034	4617.95996
10619.5977	2082.30396	2468.42993	11240.4414
1298.10742	1480.39722	247.951584	3481.48267
12025.4746	1922.22925	2779.09033	3311.83008
